observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
CSB001,Clearstone Business,independent,SRC021,ltd,50-99k,COMP_ACCOUNTS,Full Accountancy Package,entry,simple,79,modelA,Entry package includes cloud software accounts tax returns post year-end meeting unlimited advice; range £79-149 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-80-150k/,2025-01-05,England
CSB002,Clearstone Business,independent,SRC021,ltd,50-99k,COMP_ACCOUNTS,Full Accountancy Package,full,standard,107,modelA,Full package includes all Entry plus confirmation statement dedicated manager; range £107-197 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-80-150k/,2025-01-05,England
CSB003,Clearstone Business,independent,SRC021,ltd,50-99k,COMP_ACCOUNTS,Full Accountancy Package,advanced,complex,129,modelA,Advanced package includes all Full plus quarterly strategy meetings tax planning profit improvement; range £129-239 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-80-150k/,2025-01-05,England
CSB004,Clearstone Business,independent,SRC021,ltd,100-149k,COMP_ACCOUNTS,Full Accountancy Package,entry,simple,79,modelA,Entry package includes cloud software accounts tax returns post year-end meeting unlimited advice; range £79-149 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-80-150k/,2025-01-05,England
CSB005,Clearstone Business,independent,SRC021,ltd,100-149k,COMP_ACCOUNTS,Full Accountancy Package,full,standard,107,modelA,Full package includes all Entry plus confirmation statement dedicated manager; range £107-197 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-80-150k/,2025-01-05,England
CSB006,Clearstone Business,independent,SRC021,ltd,100-149k,COMP_ACCOUNTS,Full Accountancy Package,advanced,complex,129,modelA,Advanced package includes all Full plus quarterly strategy meetings tax planning profit improvement; range £129-239 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-80-150k/,2025-01-05,England
CSB007,Clearstone Business,independent,SRC021,ltd,150-199k,COMP_ACCOUNTS,Full Accountancy Package,entry,simple,89,modelA,Entry package includes cloud software accounts tax returns post year-end meeting unlimited advice; range £89-219 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-150-500k/,2025-01-05,England
CSB008,Clearstone Business,independent,SRC021,ltd,150-199k,COMP_ACCOUNTS,Full Accountancy Package,full,standard,117,modelA,Full package includes all Entry plus confirmation statement dedicated manager; range £117-297 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-150-500k/,2025-01-05,England
CSB009,Clearstone Business,independent,SRC021,ltd,150-199k,COMP_ACCOUNTS,Full Accountancy Package,advanced,complex,139,modelA,Advanced package includes all Full plus quarterly strategy meetings tax planning profit improvement; range £139-359 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-150-500k/,2025-01-05,England
CSB010,Clearstone Business,independent,SRC021,ltd,200-249k,COMP_ACCOUNTS,Full Accountancy Package,entry,simple,89,modelA,Entry package includes cloud software accounts tax returns post year-end meeting unlimited advice; range £89-219 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-150-500k/,2025-01-05,England
CSB011,Clearstone Business,independent,SRC021,ltd,200-249k,COMP_ACCOUNTS,Full Accountancy Package,full,standard,117,modelA,Full package includes all Entry plus confirmation statement dedicated manager; range £117-297 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-150-500k/,2025-01-05,England
CSB012,Clearstone Business,independent,SRC021,ltd,200-249k,COMP_ACCOUNTS,Full Accountancy Package,advanced,complex,139,modelA,Advanced package includes all Full plus quarterly strategy meetings tax planning profit improvement; range £139-359 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-150-500k/,2025-01-05,England
CSB013,Clearstone Business,independent,SRC021,ltd,250-299k,COMP_ACCOUNTS,Full Accountancy Package,entry,simple,89,modelA,Entry package includes cloud software accounts tax returns post year-end meeting unlimited advice; range £89-219 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-150-500k/,2025-01-05,England
CSB014,Clearstone Business,independent,SRC021,ltd,250-299k,COMP_ACCOUNTS,Full Accountancy Package,full,standard,117,modelA,Full package includes all Entry plus confirmation statement dedicated manager; range £117-297 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-150-500k/,2025-01-05,England
