observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
CRN001,Crunch,independent,SRC062,ltd,0-49k,COMP_ACCOUNTS,Boost Package,ecommerce,simple,175,modelA,£175+VAT/month; up to £300k turnover 1000 monthly orders 1 sales channel includes dedicated accountant bookkeeping software,A,https://www.crunch.co.uk/what-we-do/ecommerce-accounting,2025-01-05,England
CRN002,Crunch,independent,SRC062,sole_trader,0-49k,COMP_SATR,Boost Package,ecommerce,simple,175,modelA,£175+VAT/month; up to £300k turnover 1000 monthly orders 1 sales channel includes dedicated accountant bookkeeping software,A,https://www.crunch.co.uk/what-we-do/ecommerce-accounting,2025-01-05,England
CRN003,Crunch,independent,SRC062,ltd,100-149k,COMP_ACCOUNTS,Boost Package,ecommerce,simple,175,modelA,£175+VAT/month; up to £300k turnover 1000 monthly orders 1 sales channel includes dedicated accountant bookkeeping software,A,https://www.crunch.co.uk/what-we-do/ecommerce-accounting,2025-01-05,England
CRN004,Crunch,independent,SRC062,ltd,250-299k,COMP_ACCOUNTS,Boost Package,ecommerce,simple,175,modelA,£175+VAT/month; up to £300k turnover 1000 monthly orders 1 sales channel includes dedicated accountant bookkeeping software,A,https://www.crunch.co.uk/what-we-do/ecommerce-accounting,2025-01-05,England
CRN005,Crunch,independent,SRC062,ltd,300-399k,COMP_ACCOUNTS,Growth Package,ecommerce,standard,253,modelA,£253+VAT/month; up to £600k turnover 5000 monthly orders 1 sales channel includes dedicated accountant 3hr bookkeeping software,A,https://www.crunch.co.uk/what-we-do/ecommerce-accounting,2025-01-05,England
CRN006,Crunch,independent,SRC062,sole_trader,300-399k,COMP_SATR,Growth Package,ecommerce,standard,253,modelA,£253+VAT/month; up to £600k turnover 5000 monthly orders 1 sales channel includes dedicated accountant 3hr bookkeeping software,A,https://www.crunch.co.uk/what-we-do/ecommerce-accounting,2025-01-05,England
CRN007,Crunch,independent,SRC062,ltd,500-599k,COMP_ACCOUNTS,Growth Package,ecommerce,standard,253,modelA,£253+VAT/month; up to £600k turnover 5000 monthly orders 1 sales channel includes dedicated accountant 3hr bookkeeping software,A,https://www.crunch.co.uk/what-we-do/ecommerce-accounting,2025-01-05,England
CRN008,Crunch,independent,SRC062,ltd,750-999k,COMP_ACCOUNTS,Scale Package,ecommerce,standard,357,modelA,£357+VAT/month; up to £1.2m turnover 5000 monthly orders 1 sales channel includes dedicated accountant 4hr bookkeeping software,A,https://www.crunch.co.uk/what-we-do/ecommerce-accounting,2025-01-05,England
CRN009,Crunch,independent,SRC062,sole_trader,750-999k,COMP_SATR,Scale Package,ecommerce,standard,357,modelA,£357+VAT/month; up to £1.2m turnover 5000 monthly orders 1 sales channel includes dedicated accountant 4hr bookkeeping software,A,https://www.crunch.co.uk/what-we-do/ecommerce-accounting,2025-01-05,England
CRN010,Crunch,independent,SRC062,ltd,1.0-1.49m,COMP_ACCOUNTS,Scale Package,ecommerce,standard,357,modelA,£357+VAT/month; up to £1.2m turnover 5000 monthly orders 1 sales channel includes dedicated accountant 4hr bookkeeping software,A,https://www.crunch.co.uk/what-we-do/ecommerce-accounting,2025-01-05,England
CRN011,Crunch,independent,SRC062,ltd,3.0m+,COMP_ACCOUNTS,Rocket Package,ecommerce,complex,500,modelC,From custom quote estimated £500+VAT/month; up to £5m+ turnover 10000 monthly orders 5 sales channels 6hr bookkeeping,C,https://www.crunch.co.uk/what-we-do/ecommerce-accounting,2025-01-05,England
CRN012,Crunch,independent,SRC062,sole_trader,3.0m+,COMP_SATR,Rocket Package,ecommerce,complex,500,modelC,From custom quote estimated £500+VAT/month; up to £5m+ turnover 10000 monthly orders 5 sales channels 6hr bookkeeping,C,https://www.crunch.co.uk/what-we-do/ecommerce-accounting,2025-01-05,England
