observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
COM053,Coman & Co,independent,SRC045,sole_trader,250-299k,BOOK_QUARTERLY,Transaction-Based Bookkeeping,quarterly,standard,90,modelB,£0.50 per transaction; up to 350 transactions quarterly = £175/quarter = £58.33/month avg (rounded to £60); tiered by transaction volume,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM054,Coman & Co,independent,SRC045,ltd,250-299k,BOOK_QUARTERLY,Transaction-Based Bookkeeping,quarterly,standard,90,modelB,£0.50 per transaction; up to 350 transactions quarterly = £175/quarter = £58.33/month avg (rounded to £60); tiered by transaction volume,A,https://comanandco.co.uk/pricing,2025-01-05,England
COM055,Coman & Co,independent,SRC045,partnership,250-299k,BOOK_QUARTERLY,Transaction-Based Bookkeeping,quarterly,standard,90,modelB,£0.50 per transaction; up to 350 transactions quarterly = £175/quarter = £58.33/month avg (rounded to £60); tiered by transaction volume,A,https://comanandco.co.uk/pricing,2025-01-05,England
SPX021,Simplex Accounting,independent,SRC077,ltd,250-299k,BOOK_MONTHLY,Transaction-Based Bookkeeping,standard,standard,225,modelB,£1 per transaction in blocks of 25; 201-225 transactions = £225; tiered structure; includes unlimited support calls/texts/emails; self-assessment included,A,https://simplex-accounting.co.uk/,2025-01-05,England
SPX022,Simplex Accounting,independent,SRC077,sole_trader,250-299k,BOOK_MONTHLY,Transaction-Based Bookkeeping,standard,standard,225,modelB,£1 per transaction in blocks of 25; 201-225 transactions = £225; tiered structure; includes unlimited support calls/texts/emails; self-assessment included,A,https://simplex-accounting.co.uk/,2025-01-05,England
SPX023,Simplex Accounting,independent,SRC077,partnership,250-299k,BOOK_MONTHLY,Transaction-Based Bookkeeping,standard,standard,225,modelB,£1 per transaction in blocks of 25; 201-225 transactions = £225; tiered structure; includes unlimited support calls/texts/emails; self-assessment included,A,https://simplex-accounting.co.uk/,2025-01-05,England
LKR073,Lukro Ltd,independent,SRC035,ltd,250-299k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,275,modelB,£275/month for 226-250 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR074,Lukro Ltd,independent,SRC035,sole_trader,250-299k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,275,modelB,£275/month for 226-250 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR075,Lukro Ltd,independent,SRC035,partnership,250-299k,BOOK_MONTHLY,Package I: Transaction-Based Bookkeeping,standard,simple,275,modelB,£275/month for 226-250 transactions; price increases by ~£25 per additional 25 transactions; cloud accounting integration,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
CLB027,CloudBook,independent,SRC043,ltd,600-749k,BOOK_MONTHLY,Monthly Package + Bookkeeping,monthly,standard,492,modelB,£108 base + £384 (£36 × 10.67 increments for 533 avg transactions); includes monthly management accounts VAT returns quarterly accounts MTD; £36 per 50 extra transactions,A,https://cloud-book.co.uk/pricing/,2025-01-05,England
CLB028,CloudBook,independent,SRC043,sole_trader,600-749k,BOOK_MONTHLY,Monthly Package + Bookkeeping,monthly,standard,468,modelB,£84 base + £384 (£36 × 10.67 increments for 533 avg transactions); includes monthly management accounts VAT returns quarterly accounts MTD; £36 per 50 extra transactions,A,https://cloud-book.co.uk/pricing/,2025-01-05,England
CLB029,CloudBook,independent,SRC043,partnership,600-749k,BOOK_MONTHLY,Monthly Package + Bookkeeping,monthly,standard,480,modelB,£96 base + £384 (£36 × 10.67 increments for 533 avg transactions); includes monthly management accounts VAT returns quarterly accounts MTD; £36 per 50 extra transactions,A,https://cloud-book.co.uk/pricing/,2025-01-05,England
